type,x,y,z,electrode,distance
Electrode,-37.222607,-88.650963,38.091431,PO3,12.2424977010656
Electrode,-9.556205,-91.972229,43.361084,POz,15.2772417854222
Electrode,-26.600147,-95.258995,12.457261,O1,11.0032648017626
Electrode,-11.851976,-97.144653,18.145618,Oz,12.9570881005467
Electrode,-57.669548,-52.23114,10.893182,P7,9.37957127665444
Electrode,-53.084881,-60.592995,27.983803,P5,9.48953913981775
Electrode,-42.326794,-66.354858,47.334312,P3,9.93605162209664
Electrode,-28.894873,-71.43132,55.437145,P1,12.5719966214194
Electrode,-6.210871,-75.869576,57.386917,Pz,14.2150969379819
Electrode,-45.522484,-71.826019,11.838834,PO7,8.00899670227558
Electrode,-28.164555,-82.773895,27.392569,PO3,10.91407261933
Electrode,-5.572317,-85.351547,38.260052,POz,11.1946208817136
Electrode,-26.131226,-85.843735,8.88167,O1,9.4843031498689
Electrode,-9.141531,-90.005699,12.71157,Oz,10.1694079137565
Electrode,-50.638042,-65.704048,16.514208,P7,13.0409371405072
Electrode,-44.719818,-72.583359,38.067081,P5,15.1356137305483
Electrode,-38.186714,-74.791428,53.909309,P3,15.050793305127
Electrode,-20.614874,-74.445084,67.640305,P1,18.0794106688444
Electrode,5.311633,-74.119041,69.243744,Pz,20.3663526590893
Electrode,-36.219234,-84.277283,15.352737,PO7,12.3198898845391
Electrode,-25.948488,-90.555832,35.930737,PO3,14.1359629456949
Electrode,-3.634619,-89.849365,44.969173,POz,16.3613278590875
Electrode,-16.478168,-95.802834,10.92284,O1,13.6602393906638
Electrode,0.166299,-97.67614,19.303362,Oz,13.5018815989199
